Page Name,URL,Path,Page Category,Page Type,Meta Title,Title Length,Title Length Status,Meta Description,Description Length,Description Length Status,H1,H1 Present,H1 vs Title Alignment,Focus Keyword,Keywords,Robots,Canonical Tag,OG Tags,OG Type,OG Image,Twitter Tags,JSON-LD Types,In Sitemap,SEO Component,SEO Score (/100),Grade,Issues,Recommendations,Notes
Terms of service,https://contentai.example/terms,/terms,Legal,Static,Terms of Service — Content AI Usage & Billing Rules,51,Good,"Terms governing your use of Content AI, including credits, acceptable use, content ownership, billing, refunds, and responsibilities for AI-generated content.",158,Good,Terms of Service,Yes,Match,,"Content AI terms of service, user agreement, content AI legal","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList,Yes,Yes,90,A,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,
Sign in,https://contentai.example/signin,/signin,Auth,Auth,Sign In — Log In to Your Content AI Account Securely,52,Good,"Sign in to Content AI with email and password or a one-time verification code. Access your dashboard, credits, auto blog workspace, and social content tools.",157,Good,Sign in to Content AI,Yes,Mismatch,,"Content AI sign in, Content AI login, AI content account","noindex, nofollow",Yes,Yes,website,No,Yes,,No,Yes,75,B,H1 does not closely match meta title; Missing og:image / twitter:image; No JSON-LD structured data,Add default OG image in SEO component or per-page image; Align H1 with primary keyword from meta title,No breadcrumb JSON-LD
Sign up,https://contentai.example/signup,/signup,Auth,Auth,Sign Up Free — Create Your Content AI Account Today,51,Good,Create a free Content AI account with email verification and password. Get one free content credit and connect your OpenAI or Anthropic API keys today.,151,Good,Create your Content AI account,Yes,Match,,"Content AI sign up, create Content AI account, AI content registration","noindex, nofollow",Yes,Yes,website,No,Yes,,No,Yes,80,B,Missing og:image / twitter:image; No JSON-LD structured data,Add default OG image in SEO component or per-page image,No breadcrumb JSON-LD
Account dashboard,https://contentai.example/account,/account,Account,App,"My Account Dashboard — Credits, Profile & Settings",50,Good,"Manage your Content AI account dashboard. View credit balance, profile details, connected services, and quick links to billing, usage, and workspace settings.",158,Good,,No,Missing,,"Content AI account, content credits dashboard","noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,75,B,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,Protected route — requires login
Billing,https://contentai.example/account/billing,/account/billing,Account,App,Billing — Buy Content Credits and View Purchase History,55,Good,"Top up your Content AI account with pay-as-you-go credits. One dollar per credit, one credit creates one content piece. View invoices and purchase history.",155,Good,,No,Missing,,"buy content credits, Content AI billing, top up credits","noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,75,B,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,Protected route — requires login
Invoice,https://contentai.example/account/billing/invoice/:purchaseId,/account/billing/invoice/:purchaseId,Account,App,Purchase Invoice — View and Download Receipt | Content AI,57,Good,"View and download your Content AI purchase invoice with itemized credits, payment details, and billing information from your account billing history page.",154,Good,Content AI (company name on invoice),Yes,Mismatch,,,"noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,85,A,H1 does not closely match meta title; Missing og:image / twitter:image,Add default OG image in SEO component or per-page image; Align H1 with primary keyword from meta title,Dynamic route; noindex set in AccountInvoicePage
Service workspace — Auto Blog Creation,https://contentai.example/account/services/auto-blog,/account/services/auto-blog,Account,App,Auto Blog Creation Workspace Dashboard — Content AI,51,Good,"Generate high-quality blog posts automatically using your own AI API keys. Manage auto blog creation topics, categories, drafts, and settings in your.",150,Good,Auto Blog Creation,Yes,Match,,,"noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,90,A,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,Protected route; noindex
Service workspace — Content Repurposing,https://contentai.example/account/services/content-repurpose,/account/services/content-repurpose,Account,App,Content Repurposing Workspace Dashboard — Content AI,52,Good,"Transform one piece of content into many formats. Manage content repurposing topics, categories, drafts, and settings in your Content AI workspace. Manage draft",160,Good,Content Repurposing,Yes,Match,,,"noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,90,A,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,Protected route; noindex
Service workspace — Email Newsletters,https://contentai.example/account/services/email-newsletter,/account/services/email-newsletter,Account,App,Email Newsletters Workspace Dashboard — Content AI,50,Good,"Create HTML email newsletters with your brand and API keys. Manage email newsletters topics, categories, drafts, and settings in your Content AI workspace.",155,Good,Email Newsletters,Yes,Match,,,"noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,90,A,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,Protected route; noindex
Service workspace — Content Scheduling,https://contentai.example/account/services/scheduling,/account/services/scheduling,Account,App,Content Scheduling Workspace Dashboard — Content AI,51,Good,"Plan and queue content across channels from one workspace. Manage content scheduling topics, categories, drafts, and settings in your Content AI workspace.",155,Good,Content Scheduling,Yes,Match,,,"noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,90,A,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,Protected route; noindex
Service workspace — SEO Optimization,https://contentai.example/account/services/seo-optimization,/account/services/seo-optimization,Account,App,SEO Optimization Tool Workspace Dashboard — Content AI,54,Good,"Keyword research and on-page SEO suggestions. Manage seo optimization topics, categories, drafts, and settings in your Content AI workspace. Manage drafts, sett",160,Good,SEO Optimization,Yes,Match,,,"noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,90,A,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,Protected route; noindex
Service workspace — Social Media Content,https://contentai.example/account/services/social-content,/account/services/social-content,Account,App,Social Media Content Workspace Dashboard — Content AI,53,Good,"Turn ideas into posts for every major platform. Manage social media content topics, categories, drafts, and settings in your Content AI workspace. Manage drafts",160,Good,Social Media Content,Yes,Match,,,"noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,90,A,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,Protected route; noindex
Account settings,https://contentai.example/account/settings,/account/settings,Account,App,"Account Settings — Update Profile, Password & Security",54,Good,"Update your Content AI profile name and email, change your password, and manage account security settings from one place in your authenticated dashboard.",153,Good,,No,Missing,,"Content AI account settings, change password, profile settings","noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,75,B,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,Protected route — requires login
Support,https://contentai.example/account/support,/account/support,Account,App,"Support Center — Help, Billing Assistance & Tickets",51,Good,"Create and track support tickets for billing, credits, technical issues, and account help. Content AI support responds from your authenticated dashboard.",153,Good,,No,Missing,,"Content AI support, help ticket, billing support, account help","noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,75,B,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,Protected route — requires login
Support ticket detail,https://contentai.example/account/support/:ticketId,/account/support/:ticketId,Account,App,"Support Center — Help, Billing Assistance & Tickets",51,Good,"Create and track support tickets for billing, credits, technical issues, and account help. Content AI support responds from your authenticated dashboard.",153,Good,Support ticket (dynamic),Yes,Mismatch,,,"noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,85,A,H1 does not closely match meta title; Missing og:image / twitter:image,Add default OG image in SEO component or per-page image; Align H1 with primary keyword from meta title,Protected route; reuses support page SEO config
Usage,https://contentai.example/account/usage,/account/usage,Account,App,Usage Dashboard — Track Your Content Credits & Activity,55,Good,"Track content credits used, AI generation activity, and daily usage charts across your Content AI account. Export usage data and monitor spend over time.",153,Good,,No,Missing,,"Content AI usage, content credits used, AI content activity","noindex, nofollow",Yes,Yes,website,No,Yes,BreadcrumbList,No,Yes,75,B,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,Protected route — requires login

REPORT SUMMARY,,,,,Generated 2026-06-29T11:17:17.499Z,,,,,,,,,,,,,,,,,,,,,89.2,,62 pages audited,,Site: https://contentai.example
